2026-06-23 22:03:37.818 | info | bg3l8a2ntdr18j | GPU binary test passed: 1 GPU(s) healthy (CUDA 13.0)
2026-06-23 22:03:37.818 | info | bg3l8a2ntdr18j | Memory check passed: 165.92GB available (of 187.82GB total)
2026-06-23 22:03:37.818 | info | bg3l8a2ntdr18j | Disk space check passed: 19.98GB free (99.9% available)
2026-06-23 22:03:37.818 | info | bg3l8a2ntdr18j | Network connectivity passed: Connected to 8.8.8.8 (22ms)
2026-06-23 22:03:37.818 | info | bg3l8a2ntdr18j | CUDA version check passed: 13.0 (minimum: 11.8)
2026-06-23 22:03:37.818 | info | bg3l8a2ntdr18j | CUDA initialization passed: 1 device(s) initialized successfully
2026-06-23 22:03:37.818 | info | bg3l8a2ntdr18j | GPU compute benchmark passed: Matrix multiply completed in 97ms
2026-06-23 22:03:37.818 | info | bg3l8a2ntdr18j | All fitness checks passed. (734.82ms)
2026-06-23 22:03:37.818 | info | bg3l8a2ntdr18j | Jobs in queue: 1
2026-06-23 22:03:37.818 | info | bg3l8a2ntdr18j | Jobs in progress: 1
2026-06-23 22:03:37.818 | info | bg3l8a2ntdr18j | Started.
2026-06-23 22:03:37.818 | info | bg3l8a2ntdr18j | Finished.
2026-06-23 22:16:10.051 | info | 12b006z5rbmd8l | [FitDiT] Loading models from /runpod-volume/FitDiT on cuda ...\n
2026-06-23 22:17:26.347 | info | 12b006z5rbmd8l | /app/handler.py:163: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.\n
2026-06-23 22:17:51.788 | info | 12b006z5rbmd8l |   torch.load(os.path.join(WEIGHTS_DIR, "pose_guider", "diffusion_pytorch_model.bin"), map_location="cpu")\n
2026-06-23 22:17:51.788 | info | 12b006z5rbmd8l | Traceback (most recent call last):\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |   File "/opt/conda/lib/python3.11/site-packages/huggingface_hub/utils/_http.py", line 403, in hf_raise_for_status\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |     response.raise_for_status()\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |   File "/opt/conda/lib/python3.11/site-packages/requests/models.py", line 1024, in raise_for_status\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |     raise HTTPError(http_error_msg, response=self)\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l | requests.exceptions.HTTPError: 401 Client Error: Unauthorized for url: https://huggingface.co/laion/CLIP-ViT-bigG-14-laion2B-39B-b16k/resolve/main/config.json\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l | \n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l | The above exception was the direct cause of the following exception:\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l | \n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l | Traceback (most recent call last):\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |   File "/opt/conda/lib/python3.11/site-packages/transformers/utils/hub.py", line 402, in cached_file\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |     resolved_file = hf_hub_download(\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |                     ^^^^^^^^^^^^^^^^\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |   File "/opt/conda/lib/python3.11/site-packages/huggingface_hub/utils/_validators.py", line 114, in _inner_fn\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |     return fn(*args, **kwargs)\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |            ^^^^^^^^^^^^^^^^^^^\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |   File "/opt/conda/lib/python3.11/site-packages/huggingface_hub/file_download.py", line 1014, in hf_hub_download\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |     return _hf_hub_download_to_cache_dir(\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |   File "/opt/conda/lib/python3.11/site-packages/huggingface_hub/file_download.py", line 1121, in _hf_hub_download_to_cache_dir\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |     _raise_on_head_call_error(head_call_error, force_download, local_files_only)\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |   File "/opt/conda/lib/python3.11/site-packages/huggingface_hub/file_download.py", line 1662, in _raise_on_head_call_error\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |     raise head_call_error\n
2026-06-23 22:17:52.079 | info | 12b006z5rbmd8l |   File "/opt/conda/lib/python3.11/site-packages/huggingface_hub/file_download.py", line 1550, in _get_metadata_or_catch_error\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |     metadata = get_hf_file_metadata(\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |                ^^^^^^^^^^^^^^^^^^^^^\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |   File "/opt/conda/lib/python3.11/site-packages/huggingface_hub/utils/_validators.py", line 114, in _inner_fn\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |     return fn(*args, **kwargs)\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |            ^^^^^^^^^^^^^^^^^^^\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |   File "/opt/conda/lib/python3.11/site-packages/huggingface_hub/file_download.py", line 1467, in get_hf_file_metadata\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |     r = _request_wrapper(\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |         ^^^^^^^^^^^^^^^^^\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |   File "/opt/conda/lib/python3.11/site-packages/huggingface_hub/file_download.py", line 283, in _request_wrapper\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |     response = _request_wrapper(\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |                ^^^^^^^^^^^^^^^^^\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |   File "/opt/conda/lib/python3.11/site-packages/huggingface_hub/file_download.py", line 307, in _request_wrapper\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |     hf_raise_for_status(response)\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |   File "/opt/conda/lib/python3.11/site-packages/huggingface_hub/utils/_http.py", line 453, in hf_raise_for_status\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l |     raise _format(RepositoryNotFoundError, message, response) from e\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l | huggingface_hub.errors.RepositoryNotFoundError: 401 Client Error. (Request ID: Root=1-6a3a958f-178de18f0dfb61d11e2442ec;de9967cf-eb44-4e17-8f51-c46b53cb02db)\n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l | \n
2026-06-23 22:17:52.080 | info | 12b006z5rbmd8l | Repository Not Found for url: https://huggingface.co/laion/CLIP-ViT-bigG-14-laion2B-39B-b16k/resolve/main/config.json.\n
